id_observacion,id_resultado,comentario
1,1,"Se maneja bien, disfrutó con el juego de cartas."
2,2,"Presenta problemas para encontrar las noticias, ya que noi aparece en la ayuda la sección del index.html"
3,3,"Utiliza el link del título para ir a inicio en lugar del botón del nav."
